layer_index,layer,out_dim,in_dim,objective,reflection_detected,reflection_correction,orthogonality_error,weight_gram_relative_error,method,checkpoint,checkpoint_sha256
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,320,768,vector,True,upstream,5.330848125595367e-06,5.6064283853629604e-05,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,640,768,vector,True,upstream,9.425070857105311e-06,0.0001712557568680495,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,640,768,vector,True,upstream,9.28838380787056e-06,0.00013849601964466274,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
5,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.3027260138187557e-05,0.0003254921466577798,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
6,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.3115148249198683e-05,0.000343158608302474,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
7,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,False,upstream,1.2858256013714708e-05,0.0003308678278699517,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,vector,True,upstream,1.3410358405963052e-05,0.0003416576364543289,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
9,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,1280,768,vector,False,upstream,1.3045687410340179e-05,0.00036375701893121004,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
10,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,640,768,vector,True,upstream,9.814498298510443e-06,0.0002025424037128687,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
11,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.73948226601351e-06,0.00018019210256170481,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
12,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,640,768,vector,False,upstream,9.490503543929663e-06,0.00017865689005702734,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
13,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.814613814436598e-06,6.626735557802022e-05,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
14,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.659699581883615e-06,6.471214146586135e-05,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
15,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,320,768,vector,False,upstream,5.441804205474909e-06,7.276456017279997e-05,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
16,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,vector,False,upstream,1.2598443390743341e-05,0.0003471631498541683,single_vector_french_horn_to_trumpet,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_vector_french_horn_to_trumpet.safetensors,a26a5b64c8a67cf95a3da8400eda3cd21a6ebde4cdf0617c3d1106e8fe220704
1,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,320,768,subspace,False,upstream,5.791531748400303e-06,9.302033868152648e-05,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
2,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,320,768,subspace,False,upstream,6.032853889337275e-06,9.21155369724147e-05,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
3,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,640,768,subspace,False,upstream,8.991873983177356e-06,0.00017678544099908322,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,640,768,subspace,False,upstream,9.815956218517385e-06,0.0001719356223475188,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
5,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,subspace,True,upstream,1.2402130778355058e-05,0.0002919735270552337,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
6,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,subspace,False,upstream,1.2783920283254702e-05,0.0003309270250611007,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
7,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,subspace,True,upstream,1.2279369002499152e-05,0.0002809728612191975,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,1280,768,subspace,True,upstream,1.2722091014438774e-05,0.00030482583679258823,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
9,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,1280,768,subspace,False,upstream,1.262434852833394e-05,0.0003574182919692248,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
10,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,640,768,subspace,False,upstream,8.958636499301065e-06,0.00019665078434627503,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
11,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,640,768,subspace,False,upstream,8.614608304924332e-06,0.00016880205657798797,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
12,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,640,768,subspace,False,upstream,8.880959285306744e-06,0.0001857308961916715,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
13,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,320,768,subspace,False,upstream,5.737099399993895e-06,6.612790457438678e-05,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
14,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,320,768,subspace,False,upstream,6.0283905440883245e-06,7.914762682048604e-05,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
15,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,320,768,subspace,False,upstream,6.264337571337819e-06,9.389762271894142e-05,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
16,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,1280,768,subspace,True,upstream,1.340666403848445e-05,0.0003156729508191347,single_subspace_cat_to_dog,/home/daniel1012/projects/machine_unlearning/orthogonal-concept-erasure/experiments/correspondence_diagnostic/outputs/initial_screening/weights/single_subspace_cat_to_dog.safetensors,d67095a06a402414046421c0b25a7f42cce24b8a11bc61276604421e1daa417c
